sample-id	ACE-km	H2-km	Group
sample1	2.9	7.3	Digester_NS
sample2	2.9	5.1	Digester_NS
sample3	3.2	5.8	Digester_NS
sample4	11.3	25.4	Digester_MA
sample5	8.5	34.4	Digester_MA
sample6	12	31.3	Digester_MA
sample7	25.9	99.8	Digester_LP
sample8	24.5	134.9	Digester_LP
sample9	29.1	104.8	Digester_LP
sample10	7.8	7.5	Digester_WA
sample11	8	7	Digester_WA
sample12	6.5	8.8	Digester_WA
sample19	5.7	37.4	Digester_SW
sample20	3.3	37.6	Digester_SW
sample21	5.6	37.7	Digester_SW
sample22	4.9	30.7	Digester_FD
sample23	9.1	33.9	Digester_FD
sample24	7.9	32.5	Digester_FD
sample25	3.8	5.5	Digester_PC
sample26	3.6	4.8	Digester_PC
sample27	11.4	62.1	Digester_CP
sample28	11.5	65.5	Digester_CP
sample29	48.7	86.7	Digester_WR
sample30	37.6	78.9	Digester_WR
sample31	33.6	78.2	Digester_WR
sample32	16.7	47.8	Digester_SF
sample33	15.2	37.3	Digester_SF
sample34	15.2	49.6	Digester_SF
sample35	5.6	39.5	Digester_NB
sample36	5.3	42.5	Digester_NB
sample37	28.6	66.1	Digester_GP
sample38	28.4	54.4	Digester_GP
sample39	27.2	56.8	Digester_GP
sample40	9.8	19.9	Digester_WP
sample41	7.1	14.7	Digester_WP
sample42	7.4	15.2	Digester_WP
sample43	7.7	13.5	Digester_SS
sample44	7	12.3	Digester_SS
sample45	9.3	13.4	Digester_SS
sample46	20	14.1	Digester_PO
sample47	19.2	16.3	Digester_PO
sample48	18.2	15.5	Digester_PO
sample49	9.8	19.9	Digester_WP
sample50	7.1	14.7	Digester_WP
sample51	7.4	15.2	Digester_WP
sample52	27.2	96.1	Digester_CB
sample53	23.4	89.8	Digester_CB
sample54	29.7	89.8	Digester_CB
sample55	7.9	76	Digester_JB
sample56	7.6	65.5	Digester_JB
sample57	7.9	43.4	Digester_JB
sample58	15.9	25.2	Digester_BD
sample59	16	28	Digester_BD
sample60	13.1	25.2	Digester_BD
